name,city,district,traffic,longitude,latitude
POISSONNIERE,Paris,10,3594301,48.8773395505122,2.34960623902438
LOUISE MICHEL,Levallois-Perret,,3594105,48.8888292427619,2.28813731087893
PORTE DE CHAMPERRET,Paris,17,3585658,48.8855507197363,2.29274204135011
TOLBIAC,Paris,13,3582639,48.8265068988465,2.35724192740466
SENTIER,Paris,3,3568784,48.8674133308826,2.3466136387446
BROCHANT,Paris,17,3492868,48.8903794211931,2.32002765158099
JOURDAIN,Paris,20,3462099,48.8751674276782,2.38919309981893
PYRENEES,Paris,20,3457271,48.8738907818268,2.38488983901602
QUAI DE LA GARE,Paris,13,3420407,48.8373989542089,2.37378388489769
CRETEIL-UNIVERSITE,Créteil,,3395813,48.7893506910917,2.45144739751129
PORTE DE LA VILLETTE,Paris,19,3391140,48.8978102190581,2.38580611263705
CORENTIN CELTON,Issy Les Moulineaux,,3380242,48.8272434444069,2.27930670368976
PERNETY,Paris,14,3348989,48.8338169001883,2.31766395823272
DUROC,Paris,7,3339347,48.8467835319339,2.31672285703746
PLACE DES FETES,Paris,19,3321050,48.8768191471423,2.39347313514395
PARMENTIER,Paris,11,3305625,48.8651606067898,2.37584679468414
BOURSE,Paris,2,3288142,48.8687976838596,2.34123268333609
SAINT-PLACIDE,Paris,6,3287084,48.8465803886283,2.32693263560201
CORENTIN CARIOU,Paris,19,3178424,48.8949061258374,2.38244550268222
ECOLE VETERINAIRE DE MAISONS-ALFORT,Maisons -Alfort,,3175166,48.8151517942859,2.42075635931134
GAITE,Paris,14,3165824,48.8384911503461,2.32258277982791
LAMARCK-CAULAINCOURT,Paris,18,3154666,48.8897560451806,2.33889013654466
RUE DE LA POMPE,Paris,16,3138962,48.8641004131629,2.27762632988678
GARIBALDI,Saint Ouen,,3127029,48.9060316197727,2.33173327604333
CAMBRONNE,Paris,15,3097164,48.8474563362776,2.30180780419231
PORTE DE CHOISY,Paris,13,3085089,48.8201452157747,2.36434644526859
FAIDHERBE-CHALIGNY,Paris,12,3079358,48.8502384503521,2.38427458098634
CHARENTON-ECOLES,Charenton,,3074333,48.8213638104296,2.41407434683562
CHEVALERET,Paris,13,3058367,48.8344079354527,2.36716524071823
PLACE MONGE,Paris,6,3057167,48.8431960998294,2.35217845099659
COURONNES,Paris,11,3034396,48.8689698757764,2.379868518699
BOULOGNE-PONT DE SAINT-CLOUD,Boulogne Billancourt,,3033621,48.8407983651067,2.22821129036639
BOUCICAUT,Paris,15,3030137,48.8412408953716,2.28763431751091
NOTRE-DAME-DE-LORETTE,Paris,9,3007196,48.8766256956919,2.33845371043763
SIMPLON,Paris,18,2994773,48.8946326891969,2.34709106533484
SAINT-AUGUSTIN,Paris,8,2994175,48.8746742716311,2.32043139650991
SAINT-DENIS-PORTE DE PARIS,Saint Denis,,2983942,48.9296276098426,2.35741016429387
SAINT-MAUR,Paris,11,2960155,48.8639878082439,2.38007329534159
ARGENTINE,Paris,17,2932686,48.875533092935,2.2893216639617
MAIRIE D'IVRY,Ivry,,2907554,48.8111784269088,2.3838082733405
PORTE DE LA CHAPELLE,Paris,18,2905144,48.8980716716703,2.35909154194382
LA FOURCHE,Paris,8,2904781,48.8873918956469,2.32603867708385
MARAICHERS,Paris,20,2903399,48.8526633633247,2.40623072117296
PORTE DAUPHINE,Paris,16,2890496,48.8716448024995,2.2766480745793
BILLANCOURT,Boulogne Billancourt,,2838189,48.8319437593265,2.23810999708736
SAINT-PHILIPPE-DU-ROULE,Paris,8,2833206,48.8721798206485,2.30982009380661
CARREFOUR PLEYEL,Saint Denis,,2829368,48.9194552102366,2.34320024908898
ROME,Paris,17,2818857,48.8825292240735,2.32098414419979
COMMERCE,Paris,15,2814912,48.844811191807,2.29335345012085
ETIENNE MARCEL,Paris,1,2803893,48.8634946589771,2.34866984004444
SAINT-AMBROISE,Paris,11,2780473,48.8612121032505,2.37409760383489
RUE DES BOULETS,Paris,11,2740221,48.8521417733756,2.38914280457034
JACQUES BONSERGENT,Paris,10,2727155,48.8709749040173,2.36053788394075
BERAULT,Vincennes,,2723583,48.8453342425325,2.42923849792977
NATIONALE,Paris,13,2710907,48.8327104551183,2.36204546183122
PORTE DOREE,Paris,12,2702079,48.8354388891914,2.40601835314784
DUGOMMIER,Paris,12,2674338,48.8389122332307,2.38895257216093
LOUVRE-RIVOLI,Paris,1,2650897,48.8605382946574,2.34100049025543
COURCELLES,Paris,17,2650620,48.8792362487704,2.30360515293852
RUE DU BAC,Paris,7,2632889,48.8557564721823,2.32556882179391
SOLFERINO,Paris,7,2632023,48.8585512442859,2.32268062216292
MAUBERT-MUTUALITE,Paris,5,2631728,48.8499086726722,2.34850342965795
MALESHERBES,Paris,17,2623165,48.8828147397743,2.30969409432085
CORVISART,Paris,13,2622998,48.8296116848646,2.34943832730731
WAGRAM,Paris,17,2617716,48.8838739610152,2.30465144209881
TUILERIES,Paris,1,2616916,48.8644970966975,2.33031418026416
ABBESSES,Paris,18,2588279,48.8844176451841,2.33871281165883
JAVEL-ANDRE CITROEN,Paris,15,2565099,48.8461034637876,2.27845497841475
VILLEJUIF-LEO LAGRANGE,Villejuif,,2558494,48.8041740664156,2.36394352657996
LIBERTE,Charenton,,2557299,48.8258380800419,2.40692557755493
SAINT-SULPICE,Paris,6,2551607,48.8508047851976,2.33086756439724
RIQUET,Paris,19,2537863,48.8881235581407,2.37448742568144
VOLONTAIRES,Paris,15,2511126,48.8416970273909,2.30804114557479
CLUNY LA SORBONNE,Paris,5,2509657,48.8510383641319,2.34522158237992
TELEGRAPHE,Paris,20,2506008,48.8753936353787,2.3985900637686
LOUIS BLANC,Paris,10,2489483,48.8810261029957,2.3655569576092
PORTE D'ITALIE,Paris,13,2486263,48.8189346110715,2.35985580265649
LOURMEL,Paris,15,2483440,48.8384881095778,2.28175852328733
SEVRES-LECOURBE,Paris,15,2408327,48.8451307700065,2.31018390371145
RANELAGH,Paris,16,2390818,48.8553920307943,2.26997975035107
CRETEIL-POINTE DU LAC,Créteil,,2384761,48.7679578710506,2.46598982922341
BOBIGNY-PANTIN-RAYMOND QUENEAU,Pantin,,2371008,48.8952689905167,2.42480187771966
LES AGNETTES,Asni?res sur Seine,,2368284,48.9229162320519,2.28582751788663
CRETEIL-L'ECHAT,Créteil,,2361971,48.7964623870188,2.44906187102647
BEL AIR,Paris,12,2319026,48.8418961424237,2.40120562705964
CITE,Paris,4,2317889,48.8551005857888,2.3467203742446
TRINITE-D'ESTIENNE D'ORVES,Paris,9,2296191,48.87650879316,2.33305807671909
IENA,Paris,16,2280935,48.8644728974464,2.2937999591139
LE PELETIER,Paris,9,2271055,48.8749360634737,2.33980253815072
PORTE D'ORLEANS,Paris,14,2261934,48.8226012875276,2.3248055530705
VILLEJUIF-PAUL VAILLANT-COUTURIER,Villejuif,,2261934,48.7959447270881,2.3679661373898
EDGAR QUINET,Paris,14,2241317,48.8403339877984,2.3261713916465
MICHEL-ANGE-AUTEUIL,Paris,16,2222709,48.8477403459598,2.2642974417474
VAVIN,Paris,14,2212681,48.8420036541946,2.32900321886739
LA TOUR-MAUBOURG,Paris,7,2152005,48.8573850541664,2.30959864479432
